ID,item_cnt_month
0,1.5812206
1,1.095724
2,2.3007383
3,1.283437
4,1.5317519
5,1.1515696
6,-1.2729112
7,-0.29926085
8,3.7757182
9,4.695337
10,1.5700076
11,3.8546407
12,1.6616373
13,1.1822901
14,1.8697553
15,1.4377239
16,0.96393734
17,1.9332129
18,0.8108844
19,1.2314602
20,4.578546
21,2.008886
22,1.3942629
23,2.1376324
24,1.9709853
25,3.959196
26,2.1966157
27,1.1181868
28,0.8015658
29,2.3775444
30,7.4921756
31,1.9484929
32,1.1060488
33,1.4801353
34,2.26014
35,3.2478445
36,0.4030083
37,2.4518545
38,1.3203566
39,0.14149822
40,1.58012
41,0.7268293
42,3.1722147
43,2.626665
44,1.8762295
45,2.209942
46,2.0142949
47,1.3724906
48,0.8715424
49,1.449564
50,2.4120944
51,3.3986843
52,1.2815719
53,3.5623746
54,1.4839997
55,1.7584808
56,2.795902
57,1.5867428
58,1.1575011
59,1.5518919
60,1.2134918
61,1.739427
62,3.136742
63,1.8417987
64,1.4332422
65,2.3159056
66,1.9294468
67,2.1375399
68,2.2272267
69,2.3599684
70,1.9570287
71,1.5857806
72,6.3784432
73,2.1958768
74,1.5455929
75,1.6862721
76,2.217447
77,1.8260411
78,1.3736438
79,2.132701
80,1.5133423
81,1.1963884
82,1.5660082
83,1.2529143
84,1.6025738
85,1.1170771
86,2.322091
87,1.3047901
88,1.553105
89,1.1729224
90,-1.2515582
91,-0.27790797
92,3.4246716
93,4.3442903
94,1.5913606
95,3.875994
96,1.6053128
97,1.1259656
98,1.8911085
99,1.459077
100,0.98529047
101,1.9545656
102,0.83223754
103,1.2528133
104,3.9651303
105,1.3954692
106,0.78084606
107,1.5242151
108,1.3575685
109,3.345779
110,1.5831987
111,0.93803
112,0.6214093
113,1.5724068
114,6.878759
115,1.335076
116,0.49263206
117,0.86671865
118,1.6467223
119,2.6344273
120,-0.21040855
121,1.8384371
122,0.7069398
123,-0.47191858
124,0.96670324
125,0.113412395
126,0.9738622
127,0.9860169
128,1.7657884
129,1.1111338
130,1.1372882
131,2.0530863
132,-0.6538404
133,0.25017554
134,2.3382308
135,2.4791124
136,0.64436185
137,3.0742111
138,0.11343832
139,-0.17111182
140,0.19496936
141,0.49538228
142,0.2036021
143,0.33294988
144,-0.09884374
145,-0.065449245
146,3.3412204
147,1.0298836
148,0.41526031
149,1.4484663
150,1.0888618
151,2.3626773
152,1.4159411
153,1.1762798
154,1.155903
155,1.5518527
156,6.1319375
157,1.0457106
158,0.3550209
159,0.7291072
160,1.4272077
161,1.6994452
162,-0.7307907
163,1.2431575
164,0.34831214
165,-1.2004558
166,0.19623657
167,-0.6151246
168,0.3745339
169,-0.22049548
170,3.5128515
171,-0.20399737
172,1.251309
173,1.7379118
174,-1.1252989
175,1.8905243
176,4.595432
177,7.3604813
178,4.130645
